"Toon_idx";"Toon_name";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_exist";"Toon_imagelink";"Toon_platform";"Toon_likes"
1042;"강하다! 이서영";"#액션#로맨스#드라마#학원#코미디/일상";"https://www.lezhin.com/ko/comic/strong";0;1;1;"https://ccdn.lezhin.com/v2/comics/4842032246620160/images/wide.webp?updated=1693802419903&width=554 2x";2;0
1043;"이림이야기";"#로맨스#학원#코미디/일상";"https://www.lezhin.com/ko/comic/ilimstory";0;0;1;"https://ccdn.lezhin.com/v2/comics/5547609250136064/images/wide.webp?updated=1691113243965&width=554 2x";2;0
1044;"4컷용사";"#판타지#코미디/일상";"https://www.lezhin.com/ko/comic/cartoon_hero";0;0;1;"https://ccdn.lezhin.com/v2/comics/248/images/wide.webp?updated=1649059443521&width=554 2x";2;0
1045;"구독한 식탁";"#드라마#코미디/일상";"https://www.lezhin.com/ko/comic/siktak";0;0;1;"https://ccdn.lezhin.com/v2/comics/6602849724465152/images/wide.webp?updated=1635054454372&width=554 2x";2;0
1046;"윈터 카니발";"#학원#스릴러";"https://www.lezhin.com/ko/comic/winter_carnival";0;1;1;"https://ccdn.lezhin.com/v2/comics/5883629579075584/images/wide.webp?updated=1672799458600&width=554 2x";2;0
1047;"나의 수하[개정판]";"#로맨스";"https://www.lezhin.com/ko/comic/my_suha_15";0;0;1;"https://ccdn.lezhin.com/v2/comics/6234227991969792/images/wide.webp?updated=1610419380910&width=554 2x";2;0
1048;"테디베어";"#로맨스#드라마#코미디/일상";"https://www.lezhin.com/ko/comic/teddybear_for_you";0;1;1;"https://ccdn.lezhin.com/v2/comics/6419563368218624/images/wide.webp?updated=1684653189931&width=554 2x";2;0
1049;"잘 자 내 꿈 꿔";"#드라마#스릴러";"https://www.lezhin.com/ko/comic/goodnight";0;0;1;"https://ccdn.lezhin.com/v2/comics/5611356766994432/images/wide.webp?updated=1644497484153&width=554 2x";2;0
1050;"도둑의 별";"#드라마#학원";"https://www.lezhin.com/ko/comic/star_of_thief";0;0;1;"https://ccdn.lezhin.com/v2/comics/5921384695136256/images/wide.webp?updated=1691059237137&width=554 2x";2;0
1051;"우리집에 놀러와!";"#로맨스#학원";"https://www.lezhin.com/ko/comic/come2ma_h";0;1;1;"https://ccdn.lezhin.com/v2/comics/5829841251008512/images/wide.webp?updated=1699357729804&width=554 2x";2;0
